,NAME,DATE,PRCP,TAVG,TMAX,TMIN
346,Kurunegala Proper,2020-02-15,0.0,86.0,98.0,74.0
347,Kurunegala Proper,2020-02-16,0.0,85.0,99.0,75.0
348,Kurunegala Proper,2020-02-17,0.0,83.0,96.0,73.0
349,Kurunegala Proper,2020-02-18,0.0,82.0,93.0,71.0
350,Kurunegala Proper,2020-02-19,0.0,82.0,94.0,72.0
351,Kurunegala Proper,2020-02-20,0.0,85.0,96.0,73.0
352,Kurunegala Proper,2020-02-21,0.0,84.0,82.25931,78.0
353,Kurunegala Proper,2020-02-22,0.02,83.0,90.0,76.0
354,Kurunegala Proper,2020-02-23,0.0,84.0,94.0,77.0
355,Kurunegala Proper,2020-02-24,0.0,84.0,96.0,74.0
356,Kurunegala Proper,2020-02-25,0.0,86.0,96.0,74.0
357,Kurunegala Proper,2020-02-26,0.0,85.0,98.0,74.0
358,Kurunegala Proper,2020-02-27,0.0,85.0,96.0,72.0
359,Kurunegala Proper,2020-02-28,0.0,82.0,93.0,69.0
360,Kurunegala Proper,2020-02-29,0.0,83.0,82.25931,71.0
361,Kurunegala Proper,2020-03-01,0.0,86.0,97.0,73.0
362,Kurunegala Proper,2020-03-02,0.0,85.0,99.0,74.0
363,Kurunegala Proper,2020-03-03,0.0,84.0,82.25931,73.0
364,Kurunegala Proper,2020-03-04,0.0,84.0,99.0,72.0
365,Kurunegala Proper,2020-03-05,0.0,85.0,82.25931,74.0
366,Kurunegala Proper,2020-03-06,0.0,85.0,96.0,76.0
367,Kurunegala Proper,2020-03-07,0.59,84.0,96.0,77.0
368,Kurunegala Proper,2020-03-08,0.0,85.0,96.0,74.0
369,Kurunegala Proper,2020-03-09,0.0,87.0,99.0,74.0
370,Kurunegala Proper,2020-03-10,0.0,87.0,99.0,74.0
371,Kurunegala Proper,2020-03-11,0.0,83.0,82.25931,75.0
372,Kurunegala Proper,2020-03-12,0.0,86.0,98.0,68.77463
373,Kurunegala Proper,2020-03-13,0.0,79.0,82.25931,74.0
374,Kurunegala Proper,2020-03-14,0.0,81.0,82.25931,76.0
375,Kurunegala Proper,2020-03-15,0.0,86.0,98.0,76.0
376,Kurunegala Proper,2020-03-16,0.0,86.0,82.25931,76.0
377,Kurunegala Proper,2020-03-17,0.0,84.0,98.0,77.0
378,Kurunegala Proper,2020-03-18,0.0,87.0,82.25931,76.0
379,Kurunegala Proper,2020-03-19,0.0,86.0,98.0,78.0
380,Kurunegala Proper,2020-03-20,0.0,85.0,82.25931,77.0
381,Kurunegala Proper,2020-03-21,0.31,85.0,98.0,73.0
382,Kurunegala Proper,2020-03-22,0.0,85.0,98.0,74.0
383,Kurunegala Proper,2020-03-23,0.39,85.0,98.0,74.0
384,Kurunegala Proper,2020-03-24,0.0,86.0,98.0,76.0
385,Kurunegala Proper,2020-03-25,0.0,87.0,82.25931,74.0
386,Kurunegala Proper,2020-03-26,0.0,83.0,98.0,68.77463
387,Kurunegala Proper,2020-03-27,0.0,80.0,82.25931,72.0
388,Kurunegala Proper,2020-03-28,0.0,87.0,99.0,75.0
389,Kurunegala Proper,2020-03-29,0.0,87.0,99.0,78.0
390,Kurunegala Proper,2020-03-30,0.44,85.0,98.0,77.0
