,HCHO_reading,Location,Current_Date
351,0.00014229120936798487,Colombo Proper,2020-01-20
352,0.0001066841920417195,Colombo Proper,2020-01-21
353,8.923695397071347e-05,Colombo Proper,2020-01-22
354,0.00017678640409973264,Colombo Proper,2020-01-23
355,0.0002021668074626597,Colombo Proper,2020-01-24
356,0.00017547566869848365,Colombo Proper,2020-01-25
357,0.00014955944190544665,Colombo Proper,2020-01-26
358,0.00019820279546919764,Colombo Proper,2020-01-27
359,0.000231551298848491,Colombo Proper,2020-01-28
360,0.00020205059909375806,Colombo Proper,2020-01-29
361,0.0003061261842824764,Colombo Proper,2020-01-30
362,0.00026602840370324685,Colombo Proper,2020-02-02
363,0.0002472165544068208,Colombo Proper,2020-02-03
364,0.0002472165544068208,Colombo Proper,2020-02-04
365,0.00022863024643044458,Colombo Proper,2020-02-06
366,0.00011820208460106588,Colombo Proper,2020-02-07
367,0.00023555920677210273,Colombo Proper,2020-02-08
368,0.00015529482257825708,Colombo Proper,2020-02-11
369,0.00023171227076090872,Colombo Proper,2020-02-12
370,0.0002089000604718235,Colombo Proper,2020-02-13
371,0.00026132682905329513,Colombo Proper,2020-02-14
372,0.00030380175852302464,Colombo Proper,2020-02-15
373,0.00013769388920409817,Colombo Proper,2020-02-22
374,0.000269251566778081,Colombo Proper,2020-02-23
375,0.00022319123268208955,Colombo Proper,2020-02-24
376,0.00025699983925447174,Colombo Proper,2020-02-25
377,0.00021151951313700998,Colombo Proper,2020-02-28
378,0.00028898103814233977,Colombo Proper,2020-03-01
379,0.00020608901487621827,Colombo Proper,2020-03-02
380,0.0002824761524587368,Colombo Proper,2020-03-03
381,0.0002824761524587368,Colombo Proper,2020-03-04
382,0.00019006718496096444,Colombo Proper,2020-03-05
383,0.00021083901464025268,Colombo Proper,2020-03-06
384,0.00020185153239251965,Colombo Proper,2020-03-07
385,0.0002378402403791619,Colombo Proper,2020-03-08
386,0.00022156388023530102,Colombo Proper,2020-03-12
387,0.0003071506905542914,Colombo Proper,2020-03-14
388,0.00020866848334287426,Colombo Proper,2020-03-15
389,0.00029029366781574385,Colombo Proper,2020-03-16
390,0.00015962987092526737,Colombo Proper,2020-03-21
391,0.0002507782280502534,Colombo Proper,2020-03-22
392,0.00021914461628010608,Colombo Proper,2020-03-24
393,0.00017389202883992866,Colombo Proper,2020-03-25
394,0.00020816200224398269,Colombo Proper,2020-03-27
395,0.0001863390892109538,Colombo Proper,2020-03-29
396,0.00023423400601855864,Colombo Proper,2020-03-30
397,0.00016853676468132423,Colombo Proper,2020-03-31
398,0.00015828455798327923,Colombo Proper,2020-04-01
399,0.0002478837732618933,Colombo Proper,2020-04-02
400,0.00025884601799143383,Colombo Proper,2020-04-03
